"Artists","Total_Songs","Songs_Played"
"Yeasayer",6,2
"Yellowbirds",7,1
"Yellows",2,0
"ygretz",1,0
"Yin Yin",10,1
"The Yolks",1,0
"Yoo Doo Right",3,3
"Yoo Doo Right & Nolan Potter",2,2
"youbet",2,1
"Yukon Blonde",17,0
"Zachary Cale",2,0
"Zachary Lucky",11,1
"Zeus",17,1
"Zoon",3,2
"7ebra",4,1
"764-Hero",1,0
"@",1,0
